geonameid,name,asciiname,name_en,name_es,name_fr,name_it,name_ru,lat,lon,elevation,timezone,feature_code,is_capital,iso_a2,iso_a3,country_name,admin1_code,admin1_name,population,metro_population,pop_growth_10yr,annual_mean_temp,max_temp_warmest_month,min_temp_coldest_month,temp_annual_range,annual_precipitation,sunshine_hours_yr,mean_wind_speed,pm25,pm10,gdp_per_capita_ppp,hdi,internet_pct,life_expectancy,urban_pct,agri_pct_gdp,industry_pct_gdp,services_pct_gdp,literacy_rate,gini,co2_per_capita,hospital_beds_per_1k
145531,Saurimo,Saurimo,Saurimo,Saurimo,Saurimo,Saurimo,Сауримо,-9.66078,20.39155,1071.0,Africa/Luanda,PPLA,admin1,AO,AGO,Angola,18,Lunda Sul,393000,,,,,,,,,,,,10118.609,0.586,,,70.6551,22.0693,34.5673,,,,,0.75
3347939,Lobito,Lobito,Lobito,Lobito,Lobito,Lobito,Лобиту,-12.3644,13.53601,4.0,Africa/Luanda,PPL,no,AO,AGO,Angola,01,Benguela,357950,,,,,,,,,,,,10118.609,0.586,,,70.6551,22.0693,34.5673,,,,,0.75
3348078,Cuíto,Cuito,Cuito,Cuito,Cuito,Cuito,Куито,-12.38333,16.93333,1715.0,Africa/Luanda,PPLA,admin1,AO,AGO,Angola,02,Bíe,355423,,,,,,,,,,,,10118.609,0.586,,,70.6551,22.0693,34.5673,,,,,0.75
2236568,Uíge,Uige,Uíge,Uíge,Uíge,Uíge,Уиже,-7.60874,15.06131,825.0,Africa/Luanda,PPLA,admin1,AO,AGO,Angola,15,Uíge,322531,,,,,,,,,,,,10118.609,0.586,,,70.6551,22.0693,34.5673,,,,,0.75
3347719,Luena,Luena,Luena,Luena,Luena,Luena,Луэна,-11.78333,19.91667,1337.0,Africa/Luanda,PPLA,admin1,AO,AGO,Angola,14,Moxico,273675,,,,,,,,,,,,10118.609,0.586,,,70.6551,22.0693,34.5673,,,,,0.75
3347019,Mossamedes,Mossamedes,Mossamedes,Mossamedes,Mossamedes,Mossamedes,Намибе,-15.19611,12.15222,13.0,Africa/Luanda,PPLA,admin1,AO,AGO,Angola,13,Namibe,255000,,,,,,,,,,,,10118.609,0.586,,,70.6551,22.0693,34.5673,,,,,0.75
3347353,Menongue,Menongue,Menongue,Menongue,Menongue,Menongue,Менонге,-14.6585,17.69099,1355.0,Africa/Luanda,PPLA,admin1,AO,AGO,Angola,04,Cuando Cobango,251178,,,,,,,,,,,,10118.609,0.586,,,70.6551,22.0693,34.5673,,,,,0.75
3346015,Sumbe,Sumbe,Sumbe,Sumbe,Sumbe,Sumbe,Сумбе,-11.20605,13.84371,10.0,Africa/Luanda,PPLA,admin1,AO,AGO,Angola,06,Kwanza Sul,205832,,,,,,,,,,,,10118.609,0.586,,,70.6551,22.0693,34.5673,,,,,0.75
2236967,Soyo,Soyo,Soyo,Soyo,Soyo,Soyo,Сойо,-6.1349,12.36894,10.0,Africa/Luanda,PPL,no,AO,AGO,Angola,16,Zaire,200920,,,,,,,,,,,,10118.609,0.586,,,70.6551,22.0693,34.5673,,,,,0.75
145757,Dundo,Dundo,Dundo,Dundo,Dundo,Dundo,Дунду,-7.36643,20.81557,733.0,Africa/Luanda,PPLA,admin1,AO,AGO,Angola,17,Luanda Norte,177604,,,,,,,,,,,,10118.609,0.586,,,70.6551,22.0693,34.5673,,,,,0.75
2239076,N'dalatando,N'dalatando,N'dalatando,N'dalatando,N'dalatando,N'dalatando,N'dalatando,-9.29782,14.91162,795.0,Africa/Luanda,PPLA,admin1,AO,AGO,Angola,05,Cuanza Norte,161584,,,,,,,,,,,,10118.609,0.586,,,70.6551,22.0693,34.5673,,,,,0.75
2239520,Mbanza Kongo,Mbanza Kongo,Mbanza Kongo,Mbanza Kongo,Mbanza Kongo,Mbanza Kongo,Mbanza Kongo,-6.26667,14.23833,531.0,Africa/Luanda,PPLA,admin1,AO,AGO,Angola,16,Zaire,148000,,,,,,,,,,,,10118.609,0.586,,,70.6551,22.0693,34.5673,,,,,0.75
3351500,Caála,Caala,Caála,Caála,Caála,Caála,Каале,-12.8525,15.56056,1742.0,Africa/Luanda,PPL,no,AO,AGO,Angola,08,Huambo,130000,,,,,,,,,,,,10118.609,0.586,,,70.6551,22.0693,34.5673,,,,,0.75
3346821,Ondjiva,Ondjiva,Ondjiva,Ondjiva,Ondjiva,Ondjiva,Онджива,-17.06667,15.73333,1113.0,Africa/Luanda,PPLA,admin1,AO,AGO,Angola,07,Cunene,121537,,,,,,,,,,,,10118.609,0.586,,,70.6551,22.0693,34.5673,,,,,0.75
3348613,Gabela,Gabela,Gabela,Gabela,Gabela,Gabela,Габела,-10.85147,14.37993,1045.0,Africa/Luanda,PPL,no,AO,AGO,Angola,06,Kwanza Sul,116903,,,,,,,,,,,,10118.609,0.586,,,70.6551,22.0693,34.5673,,,,,0.75
145724,Lucapa,Lucapa,Lucapa,Lucapa,Lucapa,Lucapa,Лукапа,-8.41915,20.74466,955.0,Africa/Luanda,PPL,no,AO,AGO,Angola,17,Luanda Norte,110000,,,,,,,,,,,,10118.609,0.586,,,70.6551,22.0693,34.5673,,,,,0.75
3573374,The Valley,The Valley,The Valley,El Valle,The Valley,The Valley,Валли,18.21704,-63.05783,19.0,America/Anguilla,PPLC,national,AI,AIA,Anguilla,11205396,The Valley,2035,,,,,,,,,,,,,,,,,,,,,,,
3041732,Mariehamn,Mariehamn,Mariehamn,Mariehamn,Mariehamn,Mariehamn,Мариехамн,60.09726,19.93481,11.0,Europe/Mariehamn,PPLC,national,AX,ALA,Åland Islands,211,Mariehamns stad,10682,,,,,,,,,,,,,,,,,,,,,,,
3183875,Tirana,Tirana,Tirana,Tirana,Tirana,Tirana,Тирана,41.32744,19.81866,113.0,Europe/Tirane,PPLC,national,AL,ALB,Albania,50,Tirana,418495,,,,,,,,,,,,26701.675,0.789,,,58.5464,15.4519,22.4011,,97.68,,,2.9
3185728,Durrës,Durres,Durrës,Durrës,Durrës,Durazzo,Дуррес,41.32355,19.45469,0.0,Europe/Tirane,PPLA,admin1,AL,ALB,Albania,42,Durrës County,195920,,,,,,,,,,,,26701.675,0.789,,,58.5464,15.4519,22.4011,,97.68,,,2.9
3183719,Vlorë,Vlore,Vlorë,Vlorë,Vlora,Valona,Влёра,40.4696,19.48379,58.0,Europe/Tirane,PPLA,admin1,AL,ALB,Albania,51,Vlorë County,115261,,,,,,,,,,,,26701.675,0.789,,,58.5464,15.4519,22.4011,,97.68,,,2.9
783263,Elbasan,Elbasan,Elbasan,Elbasan,Elbasan,Elbasan,Эльбасан,41.11138,20.08224,126.0,Europe/Tirane,PPLA,admin1,AL,ALB,Albania,43,Elbasan County,100903,,,,,,,,,,,,26701.675,0.789,,,58.5464,15.4519,22.4011,,97.68,,,2.9
3041563,Andorra la Vella,Andorra la Vella,Andorra la Vella,Andorra la Vella,Andorre-la-Vieille,Andorra la Vella,Андорра-ла-Велья,42.50779,1.52109,1037.0,Europe/Andorra,PPLC,national,AD,AND,Andorra,07,Andorra la Vella,20430,,,,,,,,,,,,74939.4746,0.884,,,88.885,0.4659,12.753,,,,,
292223,Dubai,Dubai,Dubai,Dubái,Dubaï,Dubai,Дубай,25.07725,55.30927,24.0,Asia/Dubai,PPLA,admin1,AE,ARE,United Arab Emirates,03,Dubai,3790000,,,,,,,,,,,,79228.7388,0.911,,,85.8171,0.7694,44.3293,,98.81,,,1.87
292968,Abu Dhabi,Abu Dhabi,Abu Dhabi,Abu Dabi,Abou Dabi,Abu Dhabi,Абу-Даби,24.45118,54.39696,6.0,Asia/Dubai,PPLC,national,AE,ARE,United Arab Emirates,01,Abu Dhabi,1807000,,,,,,,,,,,,79228.7388,0.911,,,85.8171,0.7694,44.3293,,98.81,,,1.87
292672,Sharjah,Sharjah,Sharjah city,Sarja,Charjah,Sharja,Шарджа,25.3342,55.41221,15.0,Asia/Dubai,PPLA,admin1,AE,ARE,United Arab Emirates,06,Sharjah,1800000,,,,,,,,,,,,79228.7388,0.911,,,85.8171,0.7694,44.3293,,98.81,,,1.87
292913,Al Ain City,Al Ain City,Al Ain,Al Ain,Al-Aïn,Al-Ayn,Эль-Айн,24.19167,55.76056,275.0,Asia/Dubai,PPL,no,AE,ARE,United Arab Emirates,01,Abu Dhabi,846747,,,,,,,,,,,,79228.7388,0.911,,,85.8171,0.7694,44.3293,,98.81,,,1.87
291074,Ras Al Khaimah,Ras Al Khaimah,Ras al-Khaimah,Ras al-Khaimah,Ras el Khaïmah,Ras al-Khaimah,Рас-эль-Хайма,25.78953,55.9432,2.0,Asia/Dubai,PPLA,admin1,AE,ARE,United Arab Emirates,05,Ras Al Khaimah,351943,,,,,,,,,,,,79228.7388,0.911,,,85.8171,0.7694,44.3293,,98.81,,,1.87
11524601,Jebel Ali,Jebel Ali,Jebel Ali,Jebel Ali,Jebel Ali,Jebel Ali,Jebel Ali,25.00255,55.10811,5.0,Asia/Dubai,PPL,no,AE,ARE,United Arab Emirates,03,Dubai,210000,,,,,,,,,,,,79228.7388,0.911,,,85.8171,0.7694,44.3293,,98.81,,,1.87
292878,Fujairah,Fujairah,Fujairah,Fujairah,Fujairah,Fujairah,Фуджейра,25.11641,56.34141,15.0,Asia/Dubai,PPLA,admin1,AE,ARE,United Arab Emirates,04,Fujairah,118933,,,,,,,,,,,,79228.7388,0.911,,,85.8171,0.7694,44.3293,,98.81,,,1.87
3435910,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Буэнос-Айрес,-34.61315,-58.37723,31.0,America/Argentina/Buenos_Aires,PPLC,national,AR,ARG,Argentina,07,Buenos Aires F.D.,2891082,,,,,,,,,,,,30431.1931,0.849,,,92.2742,5.806,23.9966,,99.14,,,3.36
3860259,Córdoba,Cordoba,Córdoba,Córdoba,Córdoba,Córdoba,Кордова,-31.40648,-64.18853,378.0,America/Argentina/Cordoba,PPLA,admin1,AR,ARG,Argentina,05,Cordoba,2106734,,,,,,,,,,,,30431.1931,0.849,,,92.2742,5.806,23.9966,,99.14,,,3.36
3838583,Rosario,Rosario,Rosario,Rosario,Rosario,Rosario,Росарио,-32.94682,-60.63932,38.0,America/Argentina/Cordoba,PPLA2,no,AR,ARG,Argentina,21,Santa Fe,948312,,,,,,,,,,,,30431.1931,0.849,,,92.2742,5.806,23.9966,,99.14,,,3.36
